Bairro;População;latitude;longitude
Parque Juliana-Parque Jacinta-Brasilar-Angelim;47901;-5.1817395926285466;-42.77865671465523
Esplanada;6593;-5.2007093;-42.75158329999999
Santa Rosa-Parque Brasil;16970;-5.004638022622274;-42.82914357631114
Santa Maria;21923;-4.9873352;-42.83941610000001
Verdecap-Flor de Campo-Bom Princípio;10165;-5.112719754254796;-42.711601369109694
Redonda-Todos Os Santos-Parque Poti-Colorado-Renascença-Parque Ideal-São Sebastião-Novo Horizonte-Gurupi;78592;-5.0994916484642205;-42.73918166367442
Areias-Distrito Industrial-Parque Piauí-Santa Cruz-Promorar-Santo Antônio;52580;-5.149115034764168;-42.779591706382654
Santa Luzia-Triunfo-Pio Xii-Tabuleta-Redenção-Parque São João-Macaúba-Morada Nova-Saci-São Pedro-Lourival Parente;46357;-5.125120383245248;-42.7992668975322
Comprida-São Lourenço-Extrema-Bela Vista;23914;-5.128141002897883;-42.76879233286358
São Raimundo-Beira Rio-Tancredo Neves-Cidade Nova-Catarina-São João-Três Andares-Cristo Rei-Itararé;70915;-5.105437312070788;-42.772629040566876
Embrapa-Pedra Mole;14588;-5.026196291499863;-42.779137564628456
Tabajaras-Socopó-Aroeiras;13528;-5.012295953082494;-42.78767142840775
Morros-Porto de Centro-Satélite-Samapi-Vale Quem Tem;49715;-5.0492308960977565;-42.75206013855778
Árvores Verdes-Novo Uruguai-Vale de Gavião-Verde Lar;24520;-5.036731859796085;-42.73423191746329
Itaperu-Olarias-Bom Jesus-Poti Velho-Alvorada-São Francisco-Alto Alegre-Matadouro-Memorare-Real Copagre-Mafrense-Buenos Aires-Nova Brasília-São Joaquim-água Mineral;75889;-5.047485777932243;-42.82296152348694
Pirajá-Mafuá-Por Enquanto-Matinha-Acarapé-Vila Operária-Morro de Esperança-Marquês de Paranaguá-Aeroporto-Primavera;34577;-5.071717651424357;-42.8166508516644
Frei Serafim-Cabral-Piçarra-N S das Graças-Vermelha-Ilhotas-Centro-Monte Castelo;38424;-5.096250932536956;-42.80182468311472
Livramento-Santa Lia-Recanto das Palmeiras-Campestre-Uruguai-Santa Isabel;25554;-5.07246732660249;-42.75278747187916
Noivos-São Cristóvão;8208;-5.080582812865497;-42.7773925276803
Zoobotânico-Morada de Sol-Planalto-Jockey-Piçarreira-Horto-Iningá-Fátima;47382;-5.064005758952766;-42.782379249778394
